date,days,rate
02JAN1996,9,5.763067
02JAN1996,15,5.745902
02JAN1996,50,5.673317
02JAN1996,78,5.608884
02JAN1996,169,5.473762
02JAN1996,260,5.352667
02JAN1996,351,5.276194
02JAN1996,442,5.249759
02JAN1996,533,5.235769
02JAN1996,624,5.243372
02JAN1996,715,5.26432
02JAN1996,806,5.297475
02JAN1996,897,5.327961
02JAN1996,988,5.361118
02JAN1996,1079,5.394583
02JAN1996,1170,5.432169
02JAN1996,1261,5.465051
02JAN1996,1352,5.497541
02JAN1996,1443,5.529714
02JAN1996,1534,5.563993
02JAN1996,1632,5.596421
02JAN1996,1723,5.626581
02JAN1996,1814,5.655719
02JAN1996,1905,5.686364
02JAN1996,1996,5.714215
02JAN1996,2087,5.741378
02JAN1996,2178,5.767939
02JAN1996,2269,5.795171
02JAN1996,2360,5.819918
02JAN1996,2451,5.844309
02JAN1996,2542,5.868739
02JAN1996,2633,5.893894
02JAN1996,2724,5.917035
02JAN1996,2815,5.939969
02JAN1996,2906,5.962716
02JAN1996,2997,5.986201
02JAN1996,3088,6.008008
02JAN1996,3179,6.029708
02JAN1996,3270,6.051033
02JAN1996,3361,6.073362
02JAN1996,3452,6.094251
02JAN1996,3550,6.116799
02JAN1996,3641,6.138008
03JAN1996,9,5.763067
03JAN1996,14,5.747397
03JAN1996,49,5.672263
03JAN1996,77,5.603705
03JAN1996,168,5.470584
03JAN1996,259,5.346621
03JAN1996,350,5.266295
03JAN1996,441,5.235646
03JAN1996,532,5.218907
03JAN1996,623,5.221677
03JAN1996,714,5.23777
03JAN1996,805,5.268315
03JAN1996,896,5.297734
03JAN1996,987,5.330025
03JAN1996,1078,5.363615
03JAN1996,1169,5.40131
03JAN1996,1260,5.434282
03JAN1996,1351,5.466851
03JAN1996,1442,5.499091
03JAN1996,1533,5.533432
03JAN1996,1631,5.566517
03JAN1996,1722,5.59722
03JAN1996,1813,5.626845
03JAN1996,1904,5.657933
03JAN1996,1995,5.686184
03JAN1996,2086,5.714148
03JAN1996,2177,5.741442
03JAN1996,2268,5.769348
03JAN1996,2359,5.794717
03JAN1996,2450,5.820054
03JAN1996,2541,5.845363
03JAN1996,2632,5.871335
03JAN1996,2723,5.895572
03JAN1996,2814,5.919531
03JAN1996,2905,5.943551
03JAN1996,2996,5.967929
03JAN1996,3087,5.990575
03JAN1996,3178,6.013067
03JAN1996,3269,6.035139
03JAN1996,3360,6.058175
03JAN1996,3451,6.079733
03JAN1996,3549,6.102963
03JAN1996,3640,6.124773
04JAN1996,11,5.72946
04JAN1996,13,5.726104
04JAN1996,48,5.664931
04JAN1996,76,5.601891
04JAN1996,167,5.468961
04JAN1996,258,5.34509
04JAN1996,349,5.264934
04JAN1996,440,5.234497
04JAN1996,531,5.219638
04JAN1996,622,5.22377
04JAN1996,713,5.239618
04JAN1996,804,5.269992
04JAN1996,895,5.299274
04JAN1996,986,5.331455
04JAN1996,1077,5.364955
04JAN1996,1168,5.402578
04JAN1996,1259,5.436207
04JAN1996,1350,5.470017
04JAN1996,1441,5.503341
04JAN1996,1532,5.538639
04JAN1996,1630,5.57263
04JAN1996,1721,5.604084
04JAN1996,1812,5.634383
04JAN1996,1903,5.666081
04JAN1996,1994,5.694886
04JAN1996,2085,5.723354
04JAN1996,2176,5.751111
04JAN1996,2267,5.779442
04JAN1996,2358,5.805587
04JAN1996,2449,5.831643
04JAN1996,2540,5.857618
04JAN1996,2631,5.884212
04JAN1996,2722,5.909027
04JAN1996,2813,5.933527
04JAN1996,2904,5.958054
04JAN1996,2995,5.982908
04JAN1996,3086,6.006002
04JAN1996,3177,6.028916
04JAN1996,3268,6.051386
04JAN1996,3359,6.074798
04JAN1996,3450,6.096713
04JAN1996,3548,6.120305
04JAN1996,3639,6.142435
05JAN1996,11,5.72946
05JAN1996,12,5.727855
05JAN1996,47,5.664076
05JAN1996,75,5.608054
05JAN1996,166,5.481913
05JAN1996,257,5.352974
05JAN1996,348,5.273144
05JAN1996,439,5.243011
05JAN1996,530,5.231818
05JAN1996,621,5.240037
05JAN1996,712,5.258942
05JAN1996,803,5.291698
05JAN1996,894,5.323891
05JAN1996,985,5.359372
05JAN1996,1076,5.395614
05JAN1996,1167,5.435553
05JAN1996,1258,5.47116
05JAN1996,1349,5.50668
05JAN1996,1440,5.542128
05JAN1996,1531,5.579298
05JAN1996,1629,5.615664
05JAN1996,1720,5.649085
05JAN1996,1811,5.681654
05JAN1996,1902,5.715404
05JAN1996,1993,5.746072
05JAN1996,2084,5.776241
05JAN1996,2175,5.805554
05JAN1996,2266,5.835318
05JAN1996,2357,5.862783
05JAN1996,2448,5.890431
05JAN1996,2539,5.917527
05JAN1996,2630,5.945162
05JAN1996,2721,5.971283
05JAN1996,2812,5.997327
05JAN1996,2903,6.0233
05JAN1996,2994,6.049814
05JAN1996,3085,6.074471
05JAN1996,3176,6.098856
05JAN1996,3267,6.122716
05JAN1996,3358,6.147443
05JAN1996,3449,6.170602
05JAN1996,3547,6.195458
05JAN1996,3638,6.218705
08JAN1996,9,5.698918
08JAN1996,35,5.687564
08JAN1996,44,5.683618
08JAN1996,72,5.617662
08JAN1996,163,5.48942
08JAN1996,254,5.359855
08JAN1996,345,5.277515
08JAN1996,436,5.248352
08JAN1996,527,5.236173
08JAN1996,618,5.243791
08JAN1996,709,5.262294
08JAN1996,800,5.294791
08JAN1996,891,5.326777
08JAN1996,982,5.362099
08JAN1996,1073,5.398211
08JAN1996,1164,5.43805
08JAN1996,1255,5.473561
08JAN1996,1346,5.508998
08JAN1996,1437,5.544373
08JAN1996,1528,5.581482
08JAN1996,1626,5.617784
08JAN1996,1717,5.65115
08JAN1996,1808,5.68367
08JAN1996,1899,5.717377
08JAN1996,1990,5.748001
08JAN1996,2081,5.778128
08JAN1996,2172,5.807403
08JAN1996,2263,5.837132
08JAN1996,2354,5.864562
08JAN1996,2445,5.892178
08JAN1996,2536,5.919243
08JAN1996,2627,5.946851
08JAN1996,2718,5.972944
08JAN1996,2809,5.998961
08JAN1996,2900,6.02491
08JAN1996,2991,6.051402
08JAN1996,3082,6.076036
08JAN1996,3173,6.1004
08JAN1996,3264,6.124238
08JAN1996,3355,6.148946
08JAN1996,3446,6.172086
08JAN1996,3544,6.196922
08JAN1996,3635,6.220151
09JAN1996,9,5.730387
09JAN1996,34,5.687967
09JAN1996,43,5.684059
09JAN1996,71,5.613018
09JAN1996,162,5.486594
09JAN1996,253,5.350332
09JAN1996,344,5.267624
09JAN1996,435,5.238368
